Parameter,Specification
Spatial Domain,"CAMELS catchments (516 hourly gages, RFC-forecasted)"
Validation Period,"10 years: 1990-1999"
Timesteps,"Daily, 6-hourly, hourly"
Validation Types,"Temporal (all basins), spatial cross-validation, spatial+temporal CV"
